Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Score,Measure Start Date,Measure End Date,Year,Infection,Measure,Number of Measure Days
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,2568823100,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.657,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,99508,ANCHORAGE,9072123675,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.031,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.131,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
50441,STANFORD HEALTH CARE,300 PASTEUR DRIVE,STANFORD,CA,94305,SANTA CLARA,6507235708,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.209,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
50454,UCSF MEDICAL CENTER,"505 PARNASSUS AVE, BOX 0296",SAN FRANCISCO,CA,94143,SAN FRANCISCO,4153532733,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.276,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,333 N MADISON,JOLIET,IL,60435,WILL,8157257133,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.041,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,7732576751,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.6,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE,HARVEY,IL,60426,COOK,7083332300,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.049,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
230132,HURLEY MEDICAL CENTER,ONE HURLEY PLAZA,FLINT,MI,48503,GENESEE,8102579000,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.912,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
230156,ST JOSEPH MERCY HOSPITAL,5301 E HURON RIVER DR,ANN ARBOR,MI,48106,WASHTENAW,7347123456,SSI: Abdominal Lower Confidence Limit,HAI_4_CI_LOWER,same,0.021,2014-07-01,2015-06-30,2015,SSI,Abdominal Lower Confidence Limit,364
